file_name,url,inference_transcript,audio_duration,text_length,state,group_id,id
STT_AM_AB1684_0001_2910_to_5310,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0001_2910_to_5310.wav,33 ༢༽གཞན་ཡང་དགེ་སློབ་ཕལ་ཆེ་བས་དཔེ་ཁྲིད་དང་འབྲེལ་དགོངས་ཚུལ།,2.4,58,transcribing,1,3418256
STT_AM_AB1684_0002_5502_to_10462,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0002_5502_to_10462.wav,དགེ་རྒན་གཅིག་གིས་ཉིན་རེར་འཛིན་གྲྭ་མང་པོར་སློབ་ཁྲིད་གནང་བ་དང་།འཛིན་གྲྭ་གཅིག་གི་སློབ་གཉེར་བར་དགེ་རྒན་མང་པོ་བདག་པ།དགེ་རྒན་,4.96,119,transcribing,1,3418257
STT_AM_AB1684_0003_14078_to_19358,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0003_14078_to_19358.wav,ཕྱོགས་གཞན་དུ་ཕེབས་སྐབས་དགེ་རྒན་གཞན་སར་དཔེ་ཁྲིད་དུ་མི་འགྲོ་བ།འགའ་ཞིག་སྒྲ་འཇུག་འཁོར་ཐག་སོགས་ལ་བརྟེན་ནས་དངོས་སུ་དཔེ་ཁྲིད་དུ་མི་བཅར་མཁན་ཡོད་པ།,5.28,138,transcribing,1,3418258
STT_AM_AB1684_0004_22994_to_25138,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0004_22994_to_25138.wav,གྲྭ་ཚང་རེར་སློབ་གཉེར་བ་མང་དག་ཅིག,2.144,32,transcribing,1,3418259
STT_AM_AB1684_0005_25170_to_28882,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0005_25170_to_28882.wav,་གཞན་དབང་གིས་རང་མོས་དགེ་རྒན་སར་དཔེ་ཁྲིད་ལ་འགྲོ་མི་ཐུབ་པ་སོགས་ཀྱིས་དཔེ་,3.712,70,transcribing,1,3418260
STT_AM_AB1684_0006_31122_to_33362,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0006_31122_to_33362.wav,ཁྲིད་ཉིན་ལྟར་མི་ཐོབ་པ་དང་།སློབ་ཚན་མི་རྫོགས་པའི་དཀའ་ངལ་མང་དག་ཅིག,2.24,63,transcribing,1,3418261
STT_AM_AB1684_0007_34000_to_39653,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0007_34000_to_39653.wav,་ཡིག་ངག་གཉིས་ཐོག་ནས་ཕུལ་འབྱོར་བྱུང་བ་བཞིན་དོན་དངོས་སུ་སློབ་གཉེར་ལ་འགལ་རྐྱེན་གཙོ་བོ་ཞིག་ཏུ་མངོན་པ་མ་,5.653,99,transcribing,1,3418262
STT_AM_AB1684_0008_42452_to_45460,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0008_42452_to_45460.wav,ཟད་དགེ་རྒན་རྣམ་པར་ཕྱག་དཔེ་ཟུར་གཟིགས་མི་ཐུབ་པའི་དཀའ་ངལ་ཆེ་བས་སེལ་ཐབས་འཕྲལ་དུ་གནང་དགོས་ཀྱང།,3.008,89,transcribing,1,3418263
STT_AM_AB1684_0009_48916_to_51156,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0009_48916_to_51156.wav,མཐིལ་ཕྱིན་པ་ནི་དགེ་རྒན་རྣམ་པས་གཙོས་འབྲེལ་ཡོད་རྣམས་བཀའ་བསྡུར་ལྷུག་པོར་གནང་ནས,2.24,75,transcribing,1,3418264
STT_AM_AB1684_0010_55752_to_60392,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0010_55752_to_60392.wav,་སེལ་དགོས་པ་དང་།གུང་གསེང་སྐབས་མ་གཏོགས་པ་དཔེ་ཁྲིད་སྟར་ཆགས་གནང་ཐབས་དང་།སློབ་གཉེར་བ་རྣམས་དཔེ་ཁྲིད་ལ་ཡོང་མིན་འབྱོར་ཐོ་འགོད་ཐུབ་པ་གནང་རྒྱུས་མཚོན་ཕྱག་བསྟར་གནང་དགོས་ཁག་མང་དུ་མངོན།,4.64,172,transcribing,1,3418265
STT_AM_AB1684_0011_70771_to_72883,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0011_70771_to_72883.wav,༣༽གདན་ས་འདི་དག་ད་ལྟ་སྲོལ་རྒྱུན་དང་དེང་རབས་གཉིས་ཀྱི་བར་ན་ལྷུང་བ་འདི་ལས་,2.112,70,transcribing,1,3418266
STT_AM_AB1684_0012_73331_to_76083,https://monlam-ai-stt.s3.amazonaws.com/STT_AM_AB1684_0012_73331_to_76083.wav,སྐྱབས་ཏེ་མདོ་སྔགས་རིག་གནས་ཀྱིས་མཚོན་པའི་དེང་དུས་སྐད་ཡིག་,2.752,56,transcribing,1,3418267
